id,title,artist,rights,genre,Department,tags,notes
435956,Portrait of a Man with a Black-Plumed Hat,Corneille de Lyon,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; 7 x 5 1/2 in. (17.8 x 14 cm); with added strips, 8 1/2 x 6 in. (21.6 x 15.2 cm); ca. 1535–40; European Paintings; Portrait of a Man with a Black-Plumed Hat is a Unknown Painting by the Unknown artist Corneille de Lyon. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 7 x 5 1/2 in. (17.8 x 14 cm); with added strips, 8 1/2 x 6 in. (21.6 x 15.2 cm), the work is classified as Paintings and was created in ca. 1535–40."
436064,Young Herdsmen with Cows,Aelbert Cuyp,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 44 1/8 x 52 1/8 in. (112.1 x 132.4 cm); ca. 1655–60; European Paintings; Young Herdsmen with Cows is a Unknown Painting by the Unknown artist Aelbert Cuyp. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 44 1/8 x 52 1/8 in. (112.1 x 132.4 cm), the work is classified as Paintings and was created in ca. 1655–60."
436006,Marine: The Waterspout,Gustave Courbet,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 27 1/8 x 39 1/4 in. (68.9 x 99.7 cm); 1870; European Paintings; Marine: The Waterspout is a Unknown Painting by the Unknown artist Gustave Courbet. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 27 1/8 x 39 1/4 in. (68.9 x 99.7 cm), the work is classified as Paintings and was created in 1870."
436444,Saint Nicholas of Tolentino Reviving a Child,Garofalo (Benvenuto Tisi da Garofalo),CC0-1.0,Paintings,European Paintings,,"Painting, predella panel; Unknown; Unknown; Oil on canvas, transferred from wood; 13 x 25 3/4 in. (33 x 65.4 cm); ca. 1530; European Paintings; Saint Nicholas of Tolentino Reviving a Child is a Unknown Painting, predella panel by the Unknown artist Garofalo (Benvenuto Tisi da Garofalo). This piece, part of the European Paintings collection, is crafted using Oil on canvas, transferred from wood. Measuring 13 x 25 3/4 in. (33 x 65.4 cm), the work is classified as Paintings and was created in ca. 1530."
437415,The Sibyl,Willem Drost,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 38 1/2 x 30 3/4 in. (97.8 x 78.1 cm); ca. 1654; European Paintings; The Sibyl is a Unknown Painting by the Unknown artist Willem Drost. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 38 1/2 x 30 3/4 in. (97.8 x 78.1 cm), the work is classified as Paintings and was created in ca. 1654."
437409,Portrait of a Woman,Rembrandt,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 47 5/8 x 38 5/8 in. (121 x 98.1 cm); Unknown; European Paintings; Portrait of a Woman is a Unknown Painting by the Unknown artist Rembrandt. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 47 5/8 x 38 5/8 in. (121 x 98.1 cm), the work is classified as Paintings ."
436186,Still Life with Silver,Alexandre François Desportes,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 103 x 73 3/4 in. (261.6 x 187.3 cm); Unknown; European Paintings; Still Life with Silver is a Unknown Painting by the Unknown artist Alexandre François Desportes. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 103 x 73 3/4 in. (261.6 x 187.3 cm), the work is classified as Paintings ."
817124,Cain Slaying Abel,Pier Francesco Mola,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 54 3/4 × 35 7/16 in. (139 × 90 cm); ca. 1650–52; European Paintings; Cain Slaying Abel is a Unknown Painting by the Unknown artist Pier Francesco Mola. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 54 3/4 × 35 7/16 in. (139 × 90 cm), the work is classified as Paintings and was created in ca. 1650–52."
435666,The Story of Joseph,Biagio d'Antonio,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Tempera on wood; 27 x 59 in. (68.6 x 149.9 cm); Unknown; European Paintings; The Story of Joseph is a Unknown Painting by the Unknown artist Biagio d'Antonio. This piece, part of the European Paintings collection, is crafted using Tempera on wood. Measuring 27 x 59 in. (68.6 x 149.9 cm), the work is classified as Paintings ."
437873,"Philip IV (1605–1665), King of Spain",Velázquez (Diego Rodríguez de Silva y Velázquez),CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 78 3/4 x 40 1/2 in. (200 x 102.9 cm); probably 1624; European Paintings; Philip IV (1605–1665), King of Spain is a Unknown Painting by the Unknown artist Velázquez (Diego Rodríguez de Silva y Velázquez). This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 78 3/4 x 40 1/2 in. (200 x 102.9 cm), the work is classified as Paintings and was created in probably 1624."
